source_row,wavelength_nm,selected_x
1,400,530
8,413,532
9,415,540
11,419,544
15,427,546
17,431,551
20,437,556
22,441,558
24,445,560
27,451,562
28,453,564
31,459,570
33,463,572
36,469,577
38,473,579
39,475,581
40,477,583
44,485,586
45,487,588
48,493,591
49,495,596
51,499,598
52,501,617
67,531,621
73,543,625
75,547,627
78,553,629
81,559,631
84,565,634
85,567,636
87,571,642
91,579,644
98,593,646
101,599,648
102,601,650
105,607,652
107,611,655
111,619,661
115,627,663
120,637,665
125,647,667
127,651,669
132,661,671
134,665,673
136,669,675
140,677,677
146,689,680
149,695,682
151,699,688
154,707,691
164,727,693
166,731,699
172,743,701
178,755,705
183,765,707
193,785,709
204,807,711
205,809,713
209,817,715
210,819,717
215,829,719
219,837,721
231,861,723
237,873,725
247,893,727
256,911,729
260,919,732
269,937,734
271,941,737
273,945,739
284,967,741
291,981,743
300,999,746
303,1005,748
308,1015,751
313,1025,753
335,1069,756
350,1099,759
352,1103,763
358,1115,765
391,1181,767
399,1197,769
402,1203,772
451,1301,778
