source_row,wavelength_nm,selected_x
1,400,530
9,415,540
11,419,544
16,429,547
17,431,551
20,437,556
24,445,560
28,453,564
31,459,570
34,465,573
36,469,577
39,475,581
41,479,584
45,487,588
48,493,591
49,495,596
52,501,617
67,531,621
73,543,625
76,549,628
81,559,631
84,565,634
87,571,642
94,585,645
101,599,648
103,603,651
107,611,655
111,619,661
118,633,664
125,647,667
130,657,670
134,665,673
140,677,677
146,689,680
151,699,688
154,707,691
166,731,699
178,755,705
185,769,708
204,807,711
209,817,715
213,825,718
219,837,721
236,871,724
247,893,727
259,917,730
264,927,733
271,941,737
280,959,740
291,981,743
300,999,746
308,1015,751
321,1041,754
347,1093,757
351,1101,760
352,1103,763
383,1165,766
399,1197,769
402,1203,772
451,1301,778
